County,population,FIPS
ADAIR,25325,29001
ANDREW,17403,29003
ATCHISON,5270,29005
AUDRAIN,25735,29007
BARRY,35493,29009
BARTON,11850,29011
BATES,16374,29013
BENTON,18989,29015
BOLLINGER,12281,29017
BOONE,176515,29019
BUCHANAN,89076,29021
BUTLER,42733,29023
CALDWELL,9049,29025
CALLAWAY,44840,29027
CAMDEN,45096,29029
CAPE GIRARDEAU,78324,29031
CARROLL,8843,29033
CARTER,6197,29035
CASS,102678,29037
CEDAR,13938,29039
CHARITON,7546,29041
CHRISTIAN,84275,29043
CLARK,6800,29045
CLAY,239164,29047
CLINTON,20475,29049
COLE,76740,29051
COOPER,17622,29053
CRAWFORD,24280,29055
DADE,7590,29057
DALLAS,16499,29059
DAVIESS,8302,29061
DEKALB,12564,29063
DENT,15504,29065
DOUGLAS,13374,29067
DUNKLIN,30428,29069
FRANKLIN,102781,29071
GASCONADE,14746,29073
GENTRY,6665,29075
GREENE,288429,29077
GRUNDY,10039,29079
HARRISON,8554,29081
HENRY,21765,29083
HICKORY,9368,29085
HOLT,4456,29087
HOWARD,10113,29089
HOWELL,40102,29091
IRON,10221,29093
JACKSON,692003,29095
JASPER,119238,29097
JEFFERSON,223302,29099
JOHNSON,53689,29101
KNOX,3951,29103
LACLEDE,35507,29105
LAFAYETTE,32589,29107
LAWRENCE,38133,29109
LEWIS,10027,29111
LINCOLN,55563,29113
LINN,12186,29115
LIVINGSTON,15076,29117
MACON,15254,29121
MADISON,12205,29123
MARIES,8884,29125
MARION,28672,29127
MCDONALD,22827,29119
MERCER,3664,29129
MILLER,25049,29131
MISSISSIPPI,13748,29133
MONITEAU,15958,29135
MONROE,8654,29137
MONTGOMERY,11545,29139
MORGAN,20137,29141
NEW MADRID,17811,29143
NEWTON,58202,29145
NODAWAY,22547,29147
OREGON,10699,29149
OSAGE,13619,29151
OZARK,9236,29153
PEMISCOT,17031,29155
PERRY,19146,29157
PETTIS,42371,29159
PHELPS,44789,29161
PIKE,18489,29163
PLATTE,98824,29165
POLK,31549,29167
PULASKI,52591,29169
PUTNAM,4815,29171
RALLS,10217,29173
RANDOLPH,24945,29175
RAY,22825,29177
REYNOLDS,6315,29179
RIPLEY,13693,29181
SALINE,23102,29195
SCHUYLER,4502,29197
SCOTLAND,4898,29199
SCOTT,38729,29201
SHANNON,8246,29203
SHELBY,6061,29205
ST. CHARLES,389985,29183
ST. CLAIR,9383,29185
STE. GENEVIEVE,17871,29186
ST. FRANCOIS,66342,29187
ST. LOUIS CITY,311273,29510
ST. LOUIS,998684,29189
STODDARD,29512,29207
STONE,31527,29209
SULLIVAN,6317,29211
TANEY,54720,29213
TEXAS,25671,29215
VERNON,20691,29217
WARREN,33908,29219
WASHINGTON,24931,29221
WAYNE,13308,29223
WEBSTER,38082,29225
WORTH,2040,29227
WRIGHT,18293,29229
KANSAS CITY,488943,29999
